Date,Temp
11-Aug,27.64
12-Aug,28.14
13-Aug,29.27
14-Aug,29.68
15-Aug,29.08
16-Aug,28.11
17-Aug,27.23
18-Aug,26.87
19-Aug,27.34
20-Aug,27.23
21-Aug,26.77
22-Aug,26.45
23-Aug,26.4
24-Aug,27.2
25-Aug,27.99
26-Aug,28.5
27-Aug,28.52
28-Aug,28.47
29-Aug,28.05
30-Aug,28.01
31-Aug,28.13
1-Sep,28.14
2-Sep,26.49
3-Sep,24.92
4-Sep,23.61
5-Sep,23.49
6-Sep,24.01
7-Sep,24.46
8-Sep,24.78
9-Sep,24.35
10-Sep,23.17
11-Sep,22.7
12-Sep,22.71
13-Sep,23.29
14-Sep,24.33
15-Sep,25.1
16-Sep,25.34
17-Sep,24.92
18-Sep,24.83
19-Sep,24.91
20-Sep,24.37
21-Sep,23.95
22-Sep,24.15
23-Sep,24.16
24-Sep,23.21
25-Sep,22.61
26-Sep,22.1
27-Sep,21.64
28-Sep,21.68
29-Sep,21.81
30-Sep,21.27
1-Oct,20.59
2-Oct,20.37
3-Oct,20.73
4-Oct,21.55
5-Oct,22.16
6-Oct,22.11
7-Oct,21.97
8-Oct,21.87
9-Oct,21.39
10-Oct,21.28
11-Oct,21.04
12-Oct,20.72
13-Oct,20.78
14-Oct,20.83
15-Oct,21.1
16-Oct,21.42
17-Oct,20.13
18-Oct,18.56
19-Oct,17.42
20-Oct,17.27
21-Oct,17.27
22-Oct,17.78
23-Oct,17.54
24-Oct,17.4
25-Oct,17.58
26-Oct,18.12
27-Oct,16.52
28-Oct,17.13
29-Oct,17.04
30-Oct,16.94
31-Oct,16.65
